FIPS,Year,Real_Weighted_Center_Price,Real_Weighted_Family_Care_Price
13313,1997,44.76550496182896,38.39812461006871
13313,1998,44.926691604590026,38.537327076334336
13313,1999,45.173683201269505,38.75063818733346
13313,2000,45.58049594234182,39.101994056854316
13313,2001,45.87969732489219,39.360421823672496
13313,2002,46.04632787673387,39.504349804503235
13313,2003,46.34545095138582,39.762727756889305
13313,2004,46.676241758360355,40.048473028093085
13313,2005,47.14385022903215,40.452428269516844
13313,2006,47.5931011313864,40.84055055934541
13313,2007,47.981744369128386,41.176332067161
13313,2008,48.53890693193721,41.65774381909068
13313,2009,48.4836497676766,41.60999763130504
13313,2010,48.713480865848446,41.80859075726025
13313,2011,49.18388128688961,42.215075578188966
13313,2012,49.476864873724146,42.46826344557392
13313,2013,49.69444680175776,42.65629800633887
13313,2014,49.93129423460889,42.86098820856918
13313,2015,50.74051705117937,42.19525395121862
13313,2016,51.331564662491374,42.97526343836488
13313,2017,51.42473178656724,43.51683399591222
13313,2018,51.40451508331147,43.94330764023066
13313,2019,51.75093677316892,44.66732990883804
13313,2020,52.32932529133045,45.581478904489366
13313,2021,50.822278956046596,44.65555891535475
13313,2022,47.8242408716981,42.42078124742949
13315,1990,32.65117045788591,30.47305797988149
13315,1991,33.00841091799409,30.80874927152316
13315,1992,33.259706291462564,31.044901042131027
13315,1993,33.55371859952005,31.321210943221473
13315,1994,33.814869761679184,31.566652084557035
13315,1995,34.097026275233524,31.83184946036459
13315,1996,34.39248370164971,32.10956430062867
13315,1997,34.600560597681365,32.30515567389755
13315,1998,34.72514644129346,32.42226965768111
13315,1999,34.916053429058074,32.60173281422263
13315,2000,35.23049082703639,32.897335950497485
13315,2001,35.461752276598325,33.11475670534682
13315,2002,35.59054587585156,33.235846364640956
13315,2003,35.82174679896155,33.45322520955322
13315,2004,36.07742463330383,33.6936287595458
13315,2005,36.438852818672544,34.033484861686254
13315,2006,36.786091905637505,34.36002036623885
13315,2007,37.08648556610969,34.64252046207825
13315,2008,37.51713271358774,35.047542367373474
13315,2009,37.474422844413134,35.0073724881173
13315,2010,37.652065983841744,35.17445309205036
13315,2011,38.01565214884285,35.51643738301588
13315,2012,38.2421076832781,35.72944969946813
13315,2013,38.41028308289234,35.887647158830276
