,id,period,MPUBID_XRND,CRACE_XRND,CSEX_XRND,CYRB_XRND,HGC_OF_MOTHER_AS_OF_MAY_1_R,HOW_MANY_BOOKS,HOW_OFTEN_MOM_READS,HOW_OFT_CH_EATS_W,MOM_HELPS_CH_LEARN_NUMBERS,MOM_HELPS_CH_LEARN_ALPHABET,MOM_HELPS_CH_LEARN_COLORS,MOM_HELPS_CH_LEARN_SHAPES,HOW_OFT_CH_TAKEN_TO_MUSEUM,MUSIC_INSTMT_CH,CH_GET_SPEC_LESSON,HOW_OFT_CH_TAKEN_TO_PERFORMANCE,HOW_OFT_CH_SPEND_TIME_W_DAD,HOW_OFT_CH_W_DAD_OUTDOORS,DO_PARS_DISCUSS_TV,PIAT_MATH_TOTAL_RAW_SCORE,PIAT_READ_REC_TOTAL_RAW_SCO,PIAT_READ_COMP_TOTAL_RAW_SC,PPVT_TOTAL_RAW_SCORE,CHILD_EVER_ENROLLED_IN_HEAD,HOW_LONG_CHILD_WAS_IN_HEAD,MOM_HELPS_CH_W_NONE,IF_LOW_GRADES,MUSICAL_INSTMT_CH,TYPE_OF_SCHOOL,CH_ATTENDS_PUBLIC_PRIV_RELI,CHILD_AGE_WHEN_1ST_ATTD_HEA,IS_SCHOOL_GIFTED_HANDICAPPED,OWN_A_HOME_COMPUTER,HOW_OFT_PARENTS_HELP_WITH_H,TYPE_OF_SCHOOL_RECODE,DOES_CHILD_USE_ANY_COMPUTER,DOES_CHILD_NEVER_USE,MOMHGC_EVER_XRND,TOTAL_FAMILY_INCOME_FR_ALL,FAMILY_INCOME_FROM_ALL_SOUR,HGC_DLI_XRND,ASSOCIATES_XRND,BA_XRND,BS_XRND,MASTERS_XRND,PROFDEGREE_XRND,VERSION_R29_XRND,HIGHEST_GRADE_OF_REGULAR_SC,SPOUSE_WKSWK_PCY,SPOUSE_HRSWK_PCY,MOM_RACE_ID,MOM_RACE_ENCODED,MOM_SEX,WKSWK_PCY,HRSWK_PCY,HGC_REV_MOM,TNFI_TRUNC,ASVAB_1,ASVAB_2,ASVAB_3,ASVAB_4,ASVAB_5,ASVAB_6,ASVAB_7,ASVAB_8,ASVAB_9,ASVAB_10,ASVAB_11,ASVAB_12,AFQT_1,AFQT_2,AFQT_3,Q2_15C,Q2_15A_PRE,HGC_EVER_XRND,HIGHEST_DEGREE_EVER_XRND
40841,747002,2,7470.0,2.0,2.0,1981.0,20.890442349708586,20.0,0.19230769230769232,4.0,1.0,2.0,3.0,,0.028846153846153848,0.0,1.0,0.028846153846153848,1.5,0.6150747986191024,0.0,44.5,53.3,46.4,105.75,0.0,,,5.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,16.0,,4.0,9.0,1.0,0.0,1.0,0.0,0.0,532.0,,52.001203091342646,46.62322075485484,,2.0,,15.930263714952513,538.5388316017586,14.000002897470097,57869.200834328556,,,,,,,,,,,,,,,,,,16.0,4.0
40842,747002,3,7470.0,2.0,2.0,1981.0,14.0,20.0,0.19230769230769232,4.0,1.0,2.0,3.0,,0.028846153846153848,0.0,1.0,0.028846153846153848,2.0,0.23014959723820488,0.0,42.0,61.0,53.0,107.0,0.0,,,5.0,1.0,1.0,1.0,,1.0,1.0,1.7,,,,16.0,,4.0,9.0,1.0,0.0,1.0,0.0,0.0,532.0,,52.0,39.0,,2.0,,11.25,402.0,14.0,62800.0,,,,,,,,,,,,,,,,,,16.0,4.0
7323,747003,-1,7470.0,2.0,1.0,1982.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,6.0,0.0,0.0,0.0,0.0,0.0,532.0,,-4.0,-4.0,,2.0,,0.0,0.0,12.0,5000.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,,,16.0,4.0
40843,747003,0,7470.0,2.0,1.0,1982.0,12.666666666666666,20.0,1.611047180667434,4.0,1.0,2.0,,,0.028846153846153844,0.0,0.0,0.028846153846153844,2.0,4.0,0.0,14.0,16.0,16.0,71.0,0.0,,,4.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,16.0,,4.0,6.0,0.0,0.0,0.0,0.0,0.0,532.0,,24.0,32.333333333333336,,2.0,,0.0,0.0,12.666666666666666,18065.166666666668,,,,,,,,,,,,,,,,,,16.0,4.0
40844,747003,1,7470.0,2.0,1.0,1982.0,14.0,20.0,0.7243350004425955,4.0,1.0,2.0,,,0.028846153846153848,0.0,0.0,0.028846153846153848,2.0,4.0,0.0,27.75,25.125,22.3125,88.625,0.0,,,4.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,16.0,,4.0,6.0,0.0,0.0,0.0,0.0,0.0,532.0,,51.25,48.75,,2.0,,5.5,174.0,14.0,43703.0,,,,,,,,,,,,,,,,,,16.0,4.0
40845,747003,2,7470.0,2.0,1.0,1982.0,20.890442345992582,20.0,0.19230769230769232,4.0,1.0,2.0,,,0.09423076923076924,0.0,0.0,0.08557692307692308,1.6,4.0,0.0,46.5,49.25,44.5,118.0,0.0,,,4.4,1.0,1.0,1.0,,1.0,1.0,1.0,,,,16.0,,4.0,6.0,0.0,0.0,0.0,0.0,0.0,532.0,,52.001203091342646,43.823220754854844,,2.0,,15.730263715002698,567.3388316032571,14.00000289375502,62509.20064109366,,,,,,,,,,,,,,,,,,16.0,4.0
40846,747003,3,7470.0,2.0,1.0,1982.0,14.0,20.0,0.19230769230769232,4.0,1.0,2.0,,,0.028846153846153848,0.0,0.0,0.0,2.0,4.0,0.0,52.0,59.0,51.0,118.0,0.0,,,4.0,1.0,1.0,1.0,,1.0,1.0,1.5,,,,16.0,,4.0,6.0,0.0,0.0,0.0,0.0,0.0,532.0,,52.0,39.8,,2.0,,7.05,234.0,14.0,60720.0,,,,,,,,,,,,,,,,,,16.0,4.0
7324,747004,-1,7470.0,2.0,1.0,1986.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,5.0,0.0,0.0,0.0,0.0,0.0,532.0,,28.0,20.0,,2.0,,0.0,0.0,12.0,15526.0,,,,,,,,,,,,,,,,,,16.0,4.0
40847,747004,0,7470.0,2.0,1.0,1986.0,14.0,15.0,1.0,4.0,1.0,2.0,,,0.028846153846153844,1.0,1.0,0.028846153846153844,1.0,1.0,0.0,17.0,18.0,18.0,68.0,,,5.0,5.0,,1.0,1.0,,1.0,1.0,3.0,,,,16.0,4.0,,5.0,0.0,0.0,0.0,0.0,0.0,532.0,,50.833333333333336,49.5,,2.0,,3.6666666666666665,116.0,14.0,39643.5,,,,,,,,,,,,,,,,,,16.0,4.0
40848,747004,1,7470.0,2.0,1.0,1986.0,22.557143622371285,15.0,1.75,4.0,1.0,2.0,,,0.028846153846153848,1.0,1.0,0.028846153846153848,1.0,1.0,0.0,30.5625,22.8125,23.125,81.875,,,5.0,5.0,,1.0,1.0,,1.0,1.0,3.0,,,,16.0,4.0,,5.0,0.0,0.0,0.0,0.0,0.0,532.0,,52.00140363552225,45.76388746243002,,2.0,,14.399026117182908,499.6232672951743,14.0,58473.30964329478,,,,,,,,,,,,,,,,,,16.0,4.0
