Year,student_pop_count,student_pop_mean,student_pop_std,student_pop_min,student_pop_25%,student_pop_50%,student_pop_75%,student_pop_max,real_TCURELSC_per_student_count,real_TCURELSC_per_student_mean,real_TCURELSC_per_student_std,real_TCURELSC_per_student_min,real_TCURELSC_per_student_25%,real_TCURELSC_per_student_50%,real_TCURELSC_per_student_75%,real_TCURELSC_per_student_max
2003,3098.0,14891.757908327954,50086.70794323613,5.0,1922.0,4346.0,10462.25,1733672.0,3098.0,13476.722185061508,3024.846360014803,7275.690383343503,11640.312041127054,12898.91416982796,14612.320722752398,41240.61581041342
2004,3098.0,15002.746610716591,50546.090919054426,3.0,1905.0,4306.5,10399.75,1741477.0,3098.0,13589.30394127161,3122.4091187182826,7435.328468508383,11667.393573830825,12956.441756001243,14778.705572439945,53829.49981745162
2005,3087.0,15101.902818270166,50864.01074117311,3.0,1879.5,4271.0,10549.5,1736603.0,3098.0,13877.790209287186,3337.466256654112,7463.940278669068,11865.956610063378,13161.01862593404,15064.538003402673,57722.57607926397
2006,3098.0,15191.148805681085,50875.641986708164,2.0,1875.0,4282.5,10540.5,1706831.0,3098.0,14222.564846239127,4605.927770908182,7443.357472549112,12109.29217111022,13392.14833478334,15301.2890688838,171225.34181116032
2007,3096.0,15267.927325581395,50401.03912440294,3.0,1858.5,4273.5,10595.0,1670299.0,3098.0,14540.990099843064,3637.922344734802,7740.519044475215,12495.8399098739,13797.393908230444,15610.09697292155,64389.96650229066
2008,3098.0,15291.868624919303,50294.5222772781,3.0,1830.5,4245.5,10650.5,1645880.0,3098.0,14801.023589981822,3820.981224270703,7586.524879831436,12665.011038257368,13997.05528521576,15809.748969227134,68223.76514657239
2009,3096.0,15316.971899224805,50283.79540967565,5.0,1815.25,4222.5,10647.75,1629903.0,3098.0,15305.468675440225,4037.4003079582562,8202.5970038107,12994.723144500804,14406.184745351697,16454.665544022824,62734.96363419133
2010,3098.0,15320.833118140736,49925.974999126534,4.0,1795.75,4206.5,10638.75,1587815.0,3098.0,15327.79526664999,4153.208129780793,7773.380507536716,12933.070667088941,14358.60168730691,16603.20356714762,63161.72598581297
2011,3098.0,15344.910587475792,50057.52048011814,10.0,1781.25,4194.5,10641.5,1588706.0,3098.0,14909.977126928743,4209.409693943705,7142.983447025471,12453.045636066263,13877.205540145758,16291.496613927715,71954.54984533093
2012,3098.0,15375.519367333764,50077.678154589456,6.0,1776.5,4169.5,10560.0,1573628.0,3098.0,14697.697800226397,5044.864102381973,6813.174077323078,12141.758338769694,13709.613719919484,15988.145391357926,175213.1969758715
2013,3096.0,15437.416666666666,50197.48502458119,4.0,1756.5,4148.0,10498.25,1562306.0,3098.0,14611.020180168995,4311.233136226395,7137.972116648843,12076.833535150461,13627.872779466381,15871.366857687983,65304.158977359686
2014,3098.0,15486.146546158812,50392.77633862274,8.0,1749.0,4160.0,10489.5,1550961.0,3098.0,14707.690180863245,4255.637223000169,6886.299854457543,12155.003784205732,13693.805409529275,15985.478742719439,51479.413181333744
2015,3098.0,15581.85732730794,50464.52453506192,7.0,1748.25,4135.5,10496.75,1532404.0,3098.0,15075.273646193677,4435.5298476209755,6633.564852856554,12412.437215747763,14030.270004464011,16359.066855491019,60163.22020148945
2016,3098.0,15632.515493867011,50548.699126479216,5.0,1731.0,4085.5,10506.75,1520819.0,3098.0,15191.80934509582,4399.500805741952,7188.867528311145,12528.82224018857,14172.644078000156,16515.61632789142,64650.37702054264
2017,3098.0,15678.82633957392,50593.66443032565,4.0,1717.25,4055.0,10457.25,1508827.0,3098.0,15414.635310121925,4516.000476063017,6512.819008186876,12639.911259599883,14408.384702678559,16863.359151269316,66868.37136866283
2018,3097.0,15698.095576364223,50390.471502126515,4.0,1712.0,4033.0,10482.0,1488971.0,3098.0,15554.123489132056,4582.281248598156,4911.778717244263,12774.795564950466,14540.013949139466,17017.007097061043,83348.94788509967
2019,3098.0,15696.402840542285,50165.82012194506,4.0,1706.25,3993.5,10479.25,1457342.0,3098.0,15861.283883195776,4665.0951447195675,3911.1504785811135,12993.50290169967,14815.747754989301,17342.628444271006,70912.85495592491
2020,3098.0,15739.089089735313,50022.63701924872,6.0,1694.25,3976.5,10531.75,1430850.0,3098.0,16093.370718916824,4563.517558745281,3496.821925326775,13220.527278905416,15125.984986327749,17645.147201266347,70466.04366159948
2021,3097.0,15320.474652889894,48676.174354644,8.0,1648.0,3828.0,10272.0,1382171.0,3098.0,16299.435157120772,4579.185454677405,2178.7361779101698,13292.292928590758,15367.532741301617,18014.336236552965,68697.81010796079
2022,3098.0,15332.751452550032,48048.788662077626,10.0,1655.5,3857.5,10318.75,1329609.0,3098.0,16304.882613527603,5336.524734338899,1867.5190856871777,13405.307422465286,15334.530504372116,17749.369317191504,164562.86796274007
