year,FIPS,school-level_code,student_population,total_expenditures,TCURELSC,TNONELSE,TCAPOUT,L12,M12,Q11,I86,V91,V92,total_expenditures_per_student,TCURELSC_per_student,TNONELSE_per_student,TCAPOUT_per_student,L12_per_student,M12_per_student,Q11_per_student,I86_per_student,V91_per_student,V92_per_student
2005,23009,1,3289.0,50780000.0,43977000.0,19000.0,1122000.0,,,4806000.0,856000.0,3560000.0,,15439.343265430221,13370.933414411675,5.776831863788385,341.1371237458194,,,1461.234417756157,260.261477652782,1082.3958650045606,
2005,23009,2,1042.0,11848000.0,10773000.0,306000.0,365000.0,,,46000.0,358000.0,23000.0,,11370.441458733205,10338.77159309021,293.66602687140113,350.2879078694818,,,44.145873320537426,343.5700575815739,22.072936660268713,
2005,23011,1,3057.0,52011000.0,42818000.0,56000.0,4300000.0,,,4022000.0,815000.0,4400000.0,,17013.738959764476,14006.542361792606,18.318613019299967,1406.607785410533,,,1315.668956493294,266.60124304874057,1439.3195943735689,
2005,23013,1,1188.0,14505000.0,13986000.0,,189000.0,,,142000.0,188000.0,14000.0,,12209.59595959596,11772.727272727272,,159.0909090909091,,,119.52861952861953,158.24915824915826,11.784511784511784,
2005,23013,2,749.0,10241000.0,7996000.0,282000.0,96000.0,,,950000.0,917000.0,18000.0,,13672.897196261682,10675.567423230974,376.50200267022694,128.17089452603471,,,1268.357810413885,1224.2990654205607,24.03204272363151,
2005,23015,1,1669.0,28968000.0,25143000.0,191000.0,491000.0,,,2778000.0,365000.0,3819000.0,,17356.50089874176,15064.709406830438,114.43978430197723,294.18813660874775,,,1664.4697423606951,218.69382863990413,2288.1965248651886,
2005,23017,1,1109.0,19013000.0,17341000.0,28000.0,628000.0,,,922000.0,94000.0,4546000.0,,17144.274120829577,15636.609558160504,25.247971145175836,566.2759242560866,,,831.3796212804328,84.76104598737601,4099.188458070334,
2005,23019,1,3634.0,52556000.0,38986000.0,31000.0,457000.0,,,11993000.0,1089000.0,3254000.0,,14462.300495321959,10728.123280132086,8.5305448541552,125.75674188222345,,,3300.2201430930104,299.6697853604843,895.432030820033,
2005,23021,1,766.0,9553000.0,9164000.0,199000.0,70000.0,,,103000.0,17000.0,2435000.0,,12471.279373368146,11963.446475195822,259.7911227154047,91.38381201044386,,,134.46475195822455,22.193211488250654,3178.851174934726,
2005,23023,1,718.0,12718000.0,9310000.0,,149000.0,,,3259000.0,,655000.0,,17713.09192200557,12966.57381615599,,207.5208913649025,,,4538.99721448468,,912.2562674094708,
2005,23025,1,869.0,11954000.0,11516000.0,47000.0,210000.0,,,159000.0,22000.0,2884000.0,,13756.041426927502,13252.013808975835,54.085155350978134,241.6570771001151,,,182.96892980437283,25.31645569620253,3318.7571921749136,
2005,23027,1,358.0,10561000.0,4451000.0,6000.0,6007000.0,,,97000.0,,538000.0,,29500.0,12432.960893854748,16.75977653631285,16779.329608938548,,,270.94972067039106,,1502.7932960893854,
2005,23029,1,1336.0,18340000.0,16342000.0,3000.0,288000.0,,,1552000.0,155000.0,1820000.0,,13727.54491017964,12232.035928143712,2.245508982035928,215.5688622754491,,,1161.6766467065868,116.01796407185628,1362.2754491017963,
2005,23029,2,87.0,1242000.0,1139000.0,6000.0,93000.0,,,,4000.0,,,14275.862068965518,13091.954022988506,68.96551724137932,1068.9655172413793,,,,45.97701149425287,,
2005,23031,1,2874.0,42199000.0,36307000.0,103000.0,3159000.0,,,2192000.0,438000.0,8926000.0,,14683.020180932499,12632.915796798887,35.838552540013914,1099.1649269311065,,,762.7000695894224,152.4008350730689,3105.775922059847,
2005,25001,1,1210.0,25376000.0,19848000.0,3000.0,1679000.0,,,2460000.0,1386000.0,40000.0,71000.0,20971.900826446283,16403.30578512397,2.479338842975207,1387.603305785124,,,2033.0578512396694,1145.4545454545455,33.05785123966942,58.67768595041322
2005,25003,1,1623.0,24162000.0,19623000.0,8000.0,410000.0,,,3301000.0,820000.0,227000.0,34000.0,14887.245841035121,12090.573012939001,4.929143561306223,252.61860751694394,,,2033.8878619839802,505.2372150338879,139.8644485520641,20.94886013555145
2005,25003,2,730.0,10202000.0,9986000.0,,105000.0,,,86000.0,25000.0,339000.0,69000.0,13975.342465753425,13679.452054794521,,143.83561643835617,,,117.8082191780822,34.24657534246575,464.3835616438356,94.52054794520548
2005,25005,1,2662.0,31386000.0,23481000.0,73000.0,352000.0,,,6303000.0,1177000.0,655000.0,41000.0,11790.383170548459,8820.811419984973,27.422990232907587,132.23140495867767,,,2367.7685950413224,442.1487603305785,246.05559729526672,15.401953418482345
