id,period,year,MPUBID_XRND,CRACE_XRND,CSEX_XRND,CYRB_XRND,HGC_OF_MOTHER_AS_OF_MAY_1_R,HOW_MANY_BOOKS,HOW_OFTEN_MOM_READS,HOW_OFT_CH_EATS_W,MOM_HELPS_CH_LEARN_NUMBERS,MOM_HELPS_CH_LEARN_ALPHABET,MOM_HELPS_CH_LEARN_COLORS,MOM_HELPS_CH_LEARN_SHAPES,HOW_OFT_CH_TAKEN_TO_MUSEUM,MUSIC_INSTMT_CH,CH_GET_SPEC_LESSON,HOW_OFT_CH_TAKEN_TO_PERFORMANCE,HOW_OFT_CH_SPEND_TIME_W_DAD,HOW_OFT_CH_W_DAD_OUTDOORS,DO_PARS_DISCUSS_TV,PIAT_MATH,PIAT_READ_REC,PIAT_READ_COMP,PPVT,CHILD_EVER_ENROLLED_IN_HEAD,HOW_LONG_CHILD_WAS_IN_HEAD,IF_LOW_GRADES,TYPE_OF_SCHOOL,CH_ATTENDS_PUBLIC_PRIV_RELI,CHILD_AGE_WHEN_1ST_ATTD_HEA,IS_SCHOOL_GIFTED_HANDICAPPED,OWN_A_HOME_COMPUTER,PARS_HELP_W_HOMEWORK,DOES_CHILD_USE_ANY_COMPUTER,MOMHGC_EVER_XRND,HGC_YEARLY_CHILD,HGC_DLI_XRND,ASSOCIATES_XRND,BA_XRND,BS_XRND,MASTERS_XRND,PROFDEGREE_XRND,SPOUSE_WKSWK_PCY,SPOUSE_HRSWK_PCY,LABOR_INCOME,MOM_RACE_ENCODED,WKSWK_PCY,HRSWK_PCY,HGC_REV_MOM,TNFI_TRUNC,ASVAB_1,ASVAB_2,ASVAB_3,ASVAB_4,ASVAB_5,ASVAB_6,ASVAB_7,ASVAB_8,ASVAB_9,ASVAB_10,ASVAB_11,ASVAB_12,AFQT_1,AFQT_2,AFQT_3,HGC_EVER_XRND,HIGHEST_DEGREE_EVER_XRND
303.0,-1,1985.0,3.0,3.0,2.0,1986.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,6.0,0.0,0.0,0.0,0.0,0.0,52.0,50.0,1980.3320927569423,3.0,23.0,460.0,10.0,29400.314915545376,,,,,,,,,,,,,,,,12.0,1.0
303.0,0,1988.5,3.0,3.0,2.0,1986.0,10.0,20.0,1.0,4.0,1.0,2.0,3.0,4.0,0.1346153846153846,1.0,1.0,0.028846153846153844,1.0,4.0,0.0,15.0,16.0,16.0,61.0,0.0,,5.0,1.0,4.0,,5.0,1.0,,,12.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,43.666666666666664,47.656292121298605,3806.58936921462,3.0,14.166666666666666,676.3333333333334,10.0,43554.74992842829,,,,,,,,,,,,,,,,12.0,1.0
303.0,1,1993.5,3.0,3.0,2.0,1986.0,11.883604013963343,20.0,4.75,4.0,1.0,2.0,3.0,4.0,0.1346153846153846,1.0,1.0,0.028846153846153848,1.0,4.0,0.0,19.4375,19.125,18.1875,76.75,0.0,,5.0,1.0,4.0,,5.0,1.0,,,12.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,52.11926436771482,60.04899920082208,17125.70513771269,3.0,15.477055268235521,724.0988653183672,11.46405648408384,54399.39132364268,,,,,,,,,,,,,,,,12.0,1.0
303.0,2,1998.0,3.0,3.0,2.0,1986.0,11.982295199355537,20.0,7.0,2.492059838895282,1.0,2.0,3.0,4.0,0.1346153846153846,1.0,1.0,0.08173076923076923,1.0,2.5,0.0,33.0,34.0,29.75,106.5,0.0,,5.0,1.0,3.0,,5.0,1.0,,,12.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,49.93719791015057,46.51105466169861,28097.73922198557,3.0,19.50333741552938,1127.5992559536921,12.005228147769623,137109.43315201835,,,,,,,,,,,,,,,,12.0,1.0
303.0,3,2002.8,3.0,3.0,2.0,1986.0,11.99114759967777,20.0,7.0,4.0,1.0,2.0,3.0,4.0,0.1346153846153846,1.0,1.0,0.1346153846153846,1.0,1.0,0.0,40.0,40.0,38.0,108.0,0.0,,5.0,1.0,1.1,,5.0,1.0,,,12.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,34.46859895507529,39.005527330849304,3018.2834386480913,3.0,9.87666870776469,729.4246279768461,12.00261407388481,156216.4328657315,,,,,,,,,,,,,,,,12.0,1.0
401.0,-1,1979.0,4.0,3.0,1.0,1980.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,2.0,0.0,0.0,0.0,0.0,0.0,,,,3.0,0.0,0.0,9.0,22390.0,,,,,,,,,,,,,,,,14.0,1.0
401.0,0,1982.5,4.0,3.0,1.0,1980.0,10.333333333333334,20.0,3.0,0.0,,,,,0.1346153846153846,0.0,1.0,0.0,6.0,,0.0,35.0,33.0,49.0,97.0,0.0,,1.0,1.0,1.0,,,,3.0,,14.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,50.52896115844634,88.58968358734349,262.0815917549385,3.0,3.0,75.0,10.333333333333334,12004.18527531253,51.0,0.0,15.0,18.0,29.0,12.0,46.0,62.0,11.0,10.0,10.0,10.0,62.0,48.0,55761.0,14.0,1.0
401.0,1,1987.5,4.0,3.0,1.0,1980.0,14.0,20.0,3.0,0.0,,,,,0.1346153846153846,0.0,1.0,0.0,6.0,,0.0,35.875,35.875,49.0,98.875,0.0,,1.0,1.0,1.0,,,,3.0,,14.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,53.10667826713069,179.60203408136326,28176.989693673062,3.0,41.25,1671.0,14.0,28920.09178792286,51.0,0.0,15.0,18.0,29.0,12.0,46.0,62.0,11.0,10.0,10.0,10.0,62.0,48.0,55761.0,14.0,1.0
401.0,2,1992.0,4.0,3.0,1.0,1980.0,14.000372470118748,20.0,3.0,0.0,,,,,0.1346153846153846,0.0,1.0,0.0,6.0,,0.0,42.0,56.0,49.0,112.0,0.0,,1.0,1.0,1.0,,,,3.0,,14.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,52.99447977919117,111.6182647305892,43910.833333901435,3.0,33.042996023299594,1173.7770366439447,14.000372470118748,44644.429765623856,51.0,0.0,15.0,18.0,29.0,12.0,46.0,62.0,11.0,10.0,10.0,10.0,62.0,48.0,55761.0,14.0,1.0
401.0,3,1996.8,4.0,3.0,1.0,1980.0,14.000011118511008,20.0,3.0,0.0,,,,,0.1346153846153846,0.0,1.0,0.0,6.0,,0.0,42.0,56.0,49.0,112.0,0.0,,1.0,1.0,1.0,,,,3.0,,14.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,52.022517700708036,41.438017520700825,56143.81227987162,3.0,46.41202973203879,1865.2822996013117,14.000011118511008,72814.72430257112,51.0,0.0,15.0,18.0,29.0,12.0,46.0,62.0,11.0,10.0,10.0,10.0,62.0,48.0,55761.0,14.0,1.0
